,koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
2146,52.0688601,3.0436,1.82,440,5693,4.574,0.802,0
2155,62.81583395,2.6883,50.42,535,6428,4.377,1.156,0
2156,70.4680266,6.618,3.57,514,6458,4.387,1.142,0
2166,71.4517775,6.024,2.3,561,6148,4.132,1.488,0
2178,96.105471,10.929,3.89,378,5724,4.483,0.862,0
2179,265.467621,9.443,3.64,269,5724,4.483,0.862,0
2183,55.6738309,3.805,2.53,420,5123,4.428,0.935,0
2188,105.0141157,6.287,1.89,410,5855,4.343,1.069,0
2191,67.668827,9.623,3.27,495,6126,4.356,1.079,0
2192,153.343364,10.715,2.4,377,6126,4.356,1.079,0
2194,59.65943,5.239,2.9,378,5349,4.626,0.695,0
2195,52.6298417,5.964,2.08,436,5614,4.561,0.827,0
2197,59.6225257,6.425,3.44,486,6108,4.471,0.997,0
2243,55.25177425,6.0924,27.22,446,5800,4.553,0.841,0
2246,91.0564061,6.7253,49.47,431,6140,4.455,1.048,0
2247,120.0031767,3.4335,23.46,240,4317,4.625,0.669,0
2248,83.09707658,9.1835,4901.82,329,5286,4.627,0.636,0
2259,58.0192007,5.669,3.51,367,4987,4.586,0.768,0
2261,134.4786723,5.8898,7.5,372,6215,4.488,0.957,0
2262,284.060953,7.793,4.4,290,6215,4.488,0.957,0
2266,98.7180406,6.4184,6.97,363,5838,4.579,0.793,0
2267,71.52530845,5.9273,6.21,346,4850,4.511,0.815,0
2268,369.064632,5.809,3.8,200,4850,4.511,0.815,0
2270,130.3546919,6.382,7.91,369,5970,4.463,1.015,0
2272,88.40655258,12.3073,4.27,397,5688,4.476,0.998,0
2295,132.134216,25.2,64.99,809,5067,2.877,8.121,0
2296,89.1934705,4.013,3.35,468,6277,4.349,1.13,0
2311,150.8779906,8.6405,3.16,411,6192,4.23,1.23,0
2317,134.2527298,9.105,2.42,340,5973,4.562,0.826,0
2319,99.747622,6.744,3.93,391,5620,4.363,0.974,0
