koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
1.559361189,3.01,0.71,1699,6450,4.493,0.938,1
0.907817865,2.207,0.57,2006,6208,4.462,1.009,1
0.650701007,0.922,302.92,6291,10921,3.811,3.701,1
3.98914472,1.927,28.29,3294,4998,2.524,16.187,1
1.710298746,3.90953,78.06,1938,6195,4.122,1.353,1
1.395088734,13.46,4712.55,4595,5155,2.619,15.15,1
1.195515508,6.1203,160.98,2641,6047,3.789,2.264,1
1.106559724,1.752,1.17,1989,6237,4.387,1.165,1
1.752563424,6.09269,124.27,2017,5853,3.971,1.795,1
1.541526152,4.8681,117.57,2687,7631,4.059,1.937,1
0.812592543,1.5565,19.59,2848,7138,4.197,1.554,1
0.566807976,4.073,1.05,2782,6418,4.246,1.41,1
1.80774253,2.637,5.29,1822,5164,3.88,1.779,1
2.456494241,2.83,25.12,3774,4949,2.486,13.477,1
0.660627744,4.782,46.01,2363,6302,4.388,1.098,1
2.41172336,2.6377,66.46,1705,6363,4.22,1.332,1
0.533000923,1.4119,7.94,2425,5934,4.331,1.064,1
0.864657096,3.5,0.8,1716,5576,4.556,0.852,1
0.762724017,1.9964,44.87,1860,5313,4.39,0.976,1
1.20609184,2.3098,65.7,1941,5657,4.186,1.355,1
0.779585877,4.21,0.84,1852,5757,4.544,0.872,1
0.718643662,2.57331,55.27,2004,5853,4.483,0.934,1
4.15471847,1.3542,8.21,1672,7025,4.15,1.65,1
1.018862018,6.5356,94.69,2504,6225,4.009,1.672,1
1.061935843,3.316,17.25,1697,5853,4.544,0.868,1
2.74259816,9.6375,207.03,1934,7051,4.144,1.662,1
3.479507187,3.8913,596.25,3521,4724,2.323,16.215,1
0.9886513,1.972,3.19,3183,6456,3.725,2.773,1
1.667481978,1.5711,25.86,3801,4992,2.751,11.322,1
1.5064973,2.592,0.76,1807,6201,4.336,1.126,1
1.827660901,3.94347,36,1688,6329,4.39,1.093,1
